MovieId,Title,Director,Genre
1,The Shawshank Redemption,Frank Darabont,Drama
2,The Godfather,Francis Ford Coppola,Crime|Drama
3,The Dark Knight,Christopher Nolan,Action|Crime|Drama
4,The Godfather: Part II,Francis Ford Coppola,Crime|Drama
5,12 Angry Men,Sidney Lumet,Crime|Drama
6,Schindler's List,Steven Spielberg,Biography|Drama|History
7,The Lord of the Rings: The Return of the King,Peter Jackson,Action|Adventure|Drama
8,Pulp Fiction,Quentin Tarantino,Crime|Drama
9,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Action|Adventure|Drama
10,The Good the Bad and the Ugly,Sergio Leone,Adventure|Western

